,carrier_phase_1_N,carrier_phase_1_W,carrier_phase_1_x,carrier_phase_2_N,carrier_phase_2_W,carrier_phase_2_x,"carrier_Kx(1,2)",solute_phase_1_N,solute_phase_1_W,solute_phase_1_x,solute_phase_2_N,solute_phase_2_W,solute_phase_2_x,"solute_Kx(1,2)",solvent_phase_1_N,solvent_phase_1_W,solvent_phase_1_x,solvent_phase_2_N,solvent_phase_2_W,solvent_phase_2_x,"solvent_Kx(1,2)",COSMO_name,file_name
1034,50.71073911,913.57039537,0.97856905,0.19856583,3.57722776,0.02172517,45.04314192,1.08530656,97.76258306,0.02094324,0.02483858,2.23741694,0.0027176,7.70667564,0.02527329,3.76489537,0.0004877,8.91649427,1328.26638463,0.97555723,0.00049992,"1,2-dichloro-1,1-difluoropropane","LIQEX_1,2-dichloro-1,1-difluoropropane_tc40.0_W1100.0.tab"
1035,24.21445223,436.2312024,0.82343572,26.69485271,480.91642072,0.82344027,0.99999448,0.52803213,47.56424263,0.01795624,0.58211301,52.43575737,0.01795609,1.00000812,4.66412465,787.91312727,0.15860804,5.14172179,868.59387273,0.15860364,1.00002777,"1,2-dichloro-1,2,2-trifluoroethanol","LIQEX_1,2-dichloro-1,2,2-trifluoroethanol_tc40.0_W1100.0.tab"
1036,50.89022409,916.80387536,0.97865818,0.01908085,0.34374777,0.00278473,351.43885701,1.1095019,99.942058,0.02133658,0.00064324,0.057942,9.3877e-05,227.28508479,0.00027287,0.06465004,5.2474e-06,6.83224048,1618.75309996,0.9971214,5.2626e-06,"1,2-dichloro-1,2,2-trifluoroethyl-trifluoromethylether","LIQEX_1,2-dichloro-1,2,2-trifluoroethyl-trifluoromethylether_tc40.0_W1100.0.tab"
1037,50.88341644,916.68123345,0.97865474,0.0258885,0.46638967,0.00358047,273.33200687,1.10906221,99.90245221,0.0213309,0.00108292,0.09754779,0.00014977,142.42362981,0.00074681,0.17396157,1.4364e-05,7.20350586,1677.98421843,0.99626976,1.4417e-05,"1,2-dichloro-1,2,3,3,4,4-hexafluorocyclobutane","LIQEX_1,2-dichloro-1,2,3,3,4,4-hexafluorocyclobutane_tc40.0_W1100.0.tab"
1038,50.08834041,902.35768112,0.98045544,0.82096453,14.78994201,0.0881781,11.11974394,0.9543405,85.96538139,0.01868076,0.15580464,14.03461861,0.01673465,1.11634678,0.04412889,8.16156018,0.0008638,8.33353089,1541.27192982,0.89508725,0.00096507,"1,2-dichloro-1,2,3,3-tetrafluoropropane","LIQEX_1,2-dichloro-1,2,3,3-tetrafluoropropane_tc40.0_W1100.0.tab"
1039,48.59612499,875.4749368,0.98232416,2.31317995,41.67268633,0.16959247,5.7922617,0.6202229,55.86863196,0.01253721,0.48992224,44.13136804,0.035919,0.34904132,0.25421096,34.30339424,0.00513863,10.8365363,1462.28936576,0.79448853,0.00646784,"1,2-dichloro-1,2-difluoroethane","LIQEX_1,2-dichloro-1,2-difluoroethane_tc40.0_W1100.0.tab"
1040,50.61672721,911.87674058,0.97898326,0.29257773,5.27088254,0.03825076,25.59371098,1.08337408,97.58850867,0.02095365,0.02677105,2.41149133,0.00349997,5.98758868,0.00326188,0.71415008,6.3088e-05,7.32959004,1604.72675992,0.95824927,6.5837e-05,"1,2-dichloro-1-(difluoromethoxy)-1,2,2-trifluoro-ethane","LIQEX_1,2-dichloro-1-(difluoromethoxy)-1,2,2-trifluoro-ethane_tc40.0_W1100.0.tab"
1041,50.49991838,909.77239158,0.97929724,0.40938656,7.37523154,0.04651233,21.05451298,1.04330666,93.97930279,0.02023186,0.06683848,6.02069721,0.00759383,2.66443021,0.02428283,3.47274914,0.00047089,8.32545235,1190.64397086,0.94589383,0.00049783,"1,2-dichloro-1-ethoxyethane","LIQEX_1,2-dichloro-1-ethoxyethane_tc40.0_W1100.0.tab"
1042,49.67148713,894.84793425,0.97846667,1.23781781,22.29968888,0.0945345,10.35036313,0.84635593,76.23831391,0.01667216,0.2637892,23.76168609,0.02014608,0.82756949,0.2467752,28.86040969,0.00486117,11.59221396,1355.71179031,0.88531942,0.00549085,"1,2-dichloro-1-fluoroethane","LIQEX_1,2-dichloro-1-fluoroethane_tc40.0_W1100.0.tab"
1043,50.4956214,909.69498005,0.97866509,0.41368354,7.45264308,0.04089046,23.93387167,1.04140626,93.80811779,0.02018369,0.06873888,6.19188221,0.00679448,2.97046068,0.05939871,7.77985825,0.00115122,9.63445036,1261.89023175,0.95231506,0.00120886,"1,2-dichloro-1-fluoropropane","LIQEX_1,2-dichloro-1-fluoropropane_tc40.0_W1100.0.tab"
1044,50.65041215,912.4835857,0.97873582,0.25889279,4.66403743,0.0276108,35.44766282,1.07189378,96.55438256,0.02071258,0.03825135,3.44561744,0.00407949,5.07689403,0.0285457,3.56813211,0.0005516,9.07936042,1134.89464789,0.96830971,0.00056965,"1,2-dichloro-2-butene","LIQEX_1,2-dichloro-2-butene_tc40.0_W1100.0.tab"
1045,50.55854205,910.82851594,0.97843004,0.35076289,6.31910719,0.03502675,27.93384581,1.0526335,94.81944889,0.020371,0.05751164,5.18055111,0.00574304,3.54689262,0.06195361,8.1144909,0.00119895,9.60586797,1258.1465991,0.95923021,0.00124991,"1,2-dichloro-2-fluoropropane","LIQEX_1,2-dichloro-2-fluoropropane_tc40.0_W1100.0.tab"
